,time,open,high,low,close,tick_volume,spread,real_volume
11556,1568635200,107.794,107.966,107.774,107.948,8918,1,0
11557,1568642400,107.949,108.096,107.876,107.954,10880,1,0
11558,1568649600,107.955,108.05,107.918,108.031,5965,1,0
11559,1568656800,108.032,108.093,107.965,108.081,5373,1,0
11560,1568664000,108.082,108.17,108.054,108.1,4119,1,0
11561,1568671200,108.102,108.186,108.083,108.15,6114,1,0
11562,1568678400,108.149,108.37,108.023,108.163,10886,1,0
11563,1568685600,108.162,108.199,108.081,108.165,4704,1,0
11564,1568692800,108.165,108.246,108.151,108.183,3451,1,0
11565,1568700000,108.183,108.254,108.105,108.127,6835,1,0
11566,1568707200,108.127,108.237,108.124,108.236,4244,1,0
11567,1568714400,108.237,108.247,108.116,108.142,2753,1,0
11568,1568721600,108.145,108.354,108.09,108.23,11651,1,0
11569,1568728800,108.23,108.333,108.098,108.129,8996,50,0
11570,1568736000,108.129,108.183,108.056,108.15,4604,1,0
11571,1568743200,108.15,108.209,108.138,108.144,3346,1,0
11572,1568750400,108.143,108.151,108.092,108.112,4102,1,0
11573,1568757600,108.11,108.131,108.087,108.097,3574,1,0
11574,1568764800,108.097,108.229,108.096,108.221,6096,1,0
11575,1568772000,108.22,108.273,108.173,108.207,3742,1,0
11576,1568779200,108.207,108.222,108.187,108.217,1921,1,0
11577,1568786400,108.216,108.247,108.178,108.2,4669,1,0
11578,1568793600,108.199,108.233,108.18,108.212,3062,1,0
11579,1568800800,108.211,108.233,108.167,108.175,2303,1,0
11580,1568808000,108.175,108.213,108.144,108.192,5583,1,0
11581,1568815200,108.193,108.24,108.161,108.177,4561,1,0
11582,1568822400,108.177,108.193,108.099,108.112,3981,1,0
11583,1568829600,108.112,108.474,108.103,108.438,20031,1,0
11584,1568836800,108.439,108.476,108.372,108.403,2211,1,0
11585,1568844000,108.403,108.444,108.387,108.436,3513,1,0
11586,1568851200,108.436,108.474,107.992,108.067,10236,1,0
11587,1568858400,108.068,108.208,107.788,107.857,12729,1,0
11588,1568865600,107.857,107.937,107.828,107.931,5329,1,0
11589,1568872800,107.931,108.14,107.854,108.046,10930,1,0
11590,1568880000,108.045,108.059,107.934,108.015,5090,1,0
11591,1568887200,108.015,108.028,107.908,107.956,4567,1,0
11592,1568894400,107.956,108.046,107.895,107.997,7566,1,0
11593,1568901600,107.997,108.085,107.967,107.998,5399,1,0
11594,1568908800,107.998,108.037,107.836,107.907,6105,1,0
11595,1568916000,107.906,108.067,107.9,108.033,6120,1,0
11596,1568923200,108.032,108.059,107.945,108.039,6293,1,0
11597,1568930400,108.038,108.068,108.004,108.067,3207,1,0
11598,1568937600,108.068,108.086,107.899,107.914,7843,1,0
11599,1568944800,107.915,107.965,107.898,107.907,3034,1,0
11600,1568952000,107.907,107.908,107.803,107.844,3215,1,0
11601,1568959200,107.845,107.939,107.766,107.929,5532,1,0
11602,1568966400,107.929,108.004,107.869,107.994,4665,1,0
11603,1568973600,107.996,108.002,107.943,107.946,3041,1,0
11604,1568980800,107.947,107.995,107.904,107.979,5504,1,0
11605,1568988000,107.979,108.027,107.866,107.953,7659,1,0
11606,1568995200,107.952,107.971,107.626,107.694,12105,1,0
11607,1569002400,107.695,107.733,107.544,107.545,7880,1,0
11608,1569009600,107.548,107.569,107.525,107.549,1015,1,0
11609,1569182400,107.693,107.747,107.689,107.723,437,2,0
11610,1569189600,107.723,107.755,107.609,107.654,4847,1,0
11611,1569196800,107.653,107.755,107.632,107.692,3767,1,0
11612,1569204000,107.692,107.717,107.67,107.706,2287,1,0
11613,1569211200,107.706,107.738,107.696,107.71,1147,1,0
11614,1569218400,107.71,107.771,107.509,107.514,9569,1,0
11615,1569225600,107.513,107.55,107.311,107.498,8529,1,0
11616,1569232800,107.497,107.497,107.421,107.457,3284,1,0
11617,1569240000,107.457,107.552,107.416,107.425,6487,1,0
11618,1569247200,107.425,107.494,107.346,107.481,6521,1,0
11619,1569254400,107.48,107.527,107.471,107.51,3080,1,0
11620,1569261600,107.509,107.545,107.384,107.421,4074,1,0
